domestic,work,public,commercial,delivery,workshop,factory
4.99E-05,4.11E-05,4.11E-05,2.82E-05,4.11E-05,3.82E-05,8.57E-05
5.12E-05,4.04E-05,4.04E-05,2.41E-05,4.04E-05,3.74E-05,8.54E-05
5.76E-05,4.23E-05,4.23E-05,2.50E-05,4.23E-05,3.74E-05,8.60E-05
7.56E-05,4.63E-05,4.63E-05,2.86E-05,4.63E-05,4.18E-05,9.18E-05
9.60E-05,5.34E-05,5.34E-05,3.29E-05,5.34E-05,4.83E-05,9.74E-05
0.000116535,6.19E-05,6.19E-05,3.65E-05,6.19E-05,5.23E-05,0.00010773
0.000130622,7.01E-05,7.01E-05,3.77E-05,7.01E-05,5.90E-05,0.000115455
0.000139586,7.27E-05,7.27E-05,3.52E-05,7.27E-05,6.27E-05,0.000120711
0.00014727,7.04E-05,7.04E-05,3.06E-05,7.04E-05,6.24E-05,0.00011987
0.000134464,6.75E-05,6.75E-05,2.92E-05,6.75E-05,6.03E-05,0.000120474
0.000110132,6.75E-05,6.75E-05,2.93E-05,6.75E-05,5.98E-05,0.000120579
0.00010629,6.30E-05,6.30E-05,2.80E-05,6.30E-05,5.89E-05,0.000119292
0.000112693,6.27E-05,6.27E-05,2.80E-05,6.27E-05,5.69E-05,0.00011422
0.00012678,6.12E-05,6.12E-05,2.77E-05,6.12E-05,5.16E-05,0.000109254
0.000125499,6.45E-05,6.45E-05,3.56E-05,6.45E-05,4.60E-05,0.000106916
0.000122938,6.12E-05,6.12E-05,3.37E-05,6.12E-05,4.49E-05,0.000106469
0.00012806,5.97E-05,5.97E-05,3.05E-05,5.97E-05,4.94E-05,0.000108965
0.000135744,5.89E-05,5.89E-05,3.53E-05,5.89E-05,4.97E-05,0.000110489
0.000129341,5.45E-05,5.45E-05,3.64E-05,5.45E-05,4.65E-05,0.000107389
9.73E-05,4.97E-05,4.97E-05,3.33E-05,4.97E-05,4.52E-05,0.000100794
6.92E-05,4.52E-05,4.52E-05,4.12E-05,4.52E-05,5.22E-05,9.60E-05
5.51E-05,4.19E-05,4.19E-05,5.10E-05,4.19E-05,5.09E-05,9.17E-05
4.99E-05,4.11E-05,4.11E-05,4.62E-05,4.11E-05,4.86E-05,8.97E-05
4.87E-05,4.08E-05,4.08E-05,4.74E-05,4.08E-05,4.72E-05,8.92E-05
4.87E-05,4.15E-05,4.15E-05,3.77E-05,4.15E-05,4.65E-05,8.91E-05
5.25E-05,4.37E-05,4.37E-05,3.61E-05,4.37E-05,4.81E-05,9.00E-05
6.92E-05,5.30E-05,5.30E-05,4.83E-05,5.30E-05,6.10E-05,9.37E-05
9.73E-05,7.93E-05,7.93E-05,7.96E-05,7.93E-05,9.62E-05,0.000106075
